Site	Topography	Long	Lat	PPT_at	PPT_sm	PPT_sp	PPT_wt	Tmax_at	Tmax_sm	Tmax_sp	Tmax_wt	Tmin_at	Tmin_sm	Tmin_sp	Tmin_wt
1.Emerald S	S	-116.568344	51.451844	255	277	167	320	4.40000009536743	15.8000001907349	4.5	-6.5	-5.19999980926514	3.90000009536743	-6.30000019073486	-16
1.Emerald Valley	Valley	-116.540603	51.435322	204	247	137	262	5.09999990463257	16.8999996185303	5.5	-6.19999980926514	-4.80000019073486	4.30000019073486	-5.69999980926514	-15.8000001907349
1.Emerald N	N	-116.482278	51.432542	383	376	248	453	4.09999990463257	15.5	4.30000019073486	-6.59999990463257	-5.30000019073486	3.90000009536743	-6.30000019073486	-16.3999996185303
2.Cathedral S	S	-116.369378	51.451378	354	339	233	400	2	13.8999996185303	2.90000009536743	-7.80000019073486	-5.5	3.59999990463257	-6.90000009536743	-16.5
2.Cathedral Valley	Valley	-116.327133	51.445664	297	291	200	350	2.20000004768372	14.3000001907349	3.29999995231628	-7.80000019073486	-5.5	3.70000004768372	-6.69999980926514	-16.6000003814697
2.Cathedral N	N	-116.309647	51.428864	312	326	209	360	2.09999990463257	14.1999998092651	3.09999990463257	-7.90000009536743	-5.69999980926514	3.59999990463257	-7	-17
3.Bell N	N	-116.083886	51.291711	264	285	191	305	4.80000019073486	16.2000007629395	4.80000019073486	-6.40000009536743	-5.30000019073486	4	-6.40000009536743	-17.1000003814697
3.Bell S	S	-116.026244	51.370975	457	526	332	517	1.89999997615814	12.8999996185303	2.40000009536743	-7.90000009536743	-6.40000009536743	3.09999990463257	-7.80000019073486	-18
3.Bell Valley	Valley	-116.024544	51.305969	158	182	118	187	5.69999980926514	17.6000003814697	6	-6	-5.09999990463257	4.19999980926514	-5.90000009536743	-17.1000003814697
4.Norquay N	N	-115.617814	51.204481	247	369	249	237	6.19999980926514	16.7999992370605	5.40000009536743	-5.80000019073486	-4.80000019073486	4.40000009536743	-5.90000009536743	-16.3999996185303
4.Norquay S	S	-115.588097	51.224456	208	310	211	197	5.59999990463257	15.8999996185303	4.69999980926514	-6.09999990463257	-5	4.30000019073486	-6.19999980926514	-16.5
4.Norquay Valley	Valley	-115.586944	51.190178	81	127	89	70	7.40000009536743	18.3999996185303	6.59999990463257	-5	-4.5	4.59999990463257	-5.5	-16
5.Cascade N	N	-115.548089	51.246731	213	320	218	206	6.19999980926514	16.7000007629395	5.19999980926514	-5.69999980926514	-4.90000009536743	4.30000019073486	-6.19999980926514	-16.3999996185303
5.Cascade Valley	Valley	-115.504167	51.248633	108	163	111	102	7	17.7999992370605	6.09999990463257	-5.19999980926514	-4.69999980926514	4.5	-5.80000019073486	-16.2999992370605
5.Cascade S	S	-115.4583	51.2751	193	312	206	190	5.19999980926514	15.3999996185303	4	-6.69999980926514	-5.19999980926514	4.19999980926514	-6.80000019073486	-16.8999996185303
6.Canmore Valley	Valley	-115.329208	51.050556	98	183	144	88	7.80000019073486	18.2999992370605	6.5	-4.80000019073486	-4.40000009536743	4.80000019073486	-5.5	-16
6.Canmore N	N	-115.327653	51.038278	158	251	211	178	7.59999990463257	17.7999992370605	6	-5.09999990463257	-4.40000009536743	4.69999980926514	-5.69999980926514	-16.1000003814697
8.Old Baldy N	N	-115.173575	50.915997	172	250	219	211	7	16.7000007629395	5	-5.69999980926514	-4.69999980926514	4.69999980926514	-6.30000019073486	-16.1000003814697
8.Old Baldy Valley	Valley	-115.131753	50.892411	107	187	161	113	7.69999980926514	18.1000003814697	6.09999990463257	-5	-4.40000009536743	4.90000009536743	-5.80000019073486	-15.8999996185303
7.Yates N	N	-115.0991	51.0018	139	220	191	165	7.90000009536743	18.2000007629395	6.19999980926514	-4.90000009536743	-4.30000019073486	5	-6	-16
8.Old Baldy S	S	-115.084122	50.905197	197	275	242	240	5.90000009536743	16	4.5	-6.09999990463257	-5	4.40000009536743	-6.5	-16.3999996185303
7.Yates S	S	-115.079217	51.046919	151	256	209	133	8.60000038146973	19	7.09999990463257	-4.09999990463257	-3.79999995231628	5.40000009536743	-5.30000019073486	-15.3999996185303
7.Yates Valley	Valley	-115.053825	51.038728	118	213	177	93	9.10000038146973	19.5	7.80000019073486	-3.59999990463257	-3.40000009536743	5.59999990463257	-4.80000019073486	-15.1000003814697
6.Canmore S	S	-115.291275	51.093208	224	334	247	248	6.30000019073486	16.2999992370605	4.80000019073486	-6	-4.80000019073486	4.5	-6.40000009536743	-16.5
