Name	ID	Transect	Topography	Elevation	Long	Lat	PPT_At	PPT_Sm	PPT_Sp	PPT_Wt	Tmax_At	Tmax_Sm	Tmax_Sp	Tmax_Wt	Tmin_At	Tmin_Sm	Tmin_Sp	Tmin_Wt	H_Index	PC1	Pg.03r201021s000001_527438_G	Pg.03r201021s000001_527441_C	Pg.03r201021s000001_527450_C	Pg.03r201021s000001_527476_G	Pg.03r201021s000001_527484_G	Pg.03r201021s000001_527580_T	Pg.03r201021s000001_527585_T	Pg.03r201021s000001_527769_A	Pg.03r201021s000001_527789_A	Pg.03r201021s000001_1243804_G	Pg.03r201021s000001_1243887_A	Pg.03r201021s000001_1243909_G	Pg.03r201021s000001_1243910_C	Pg.03r201021s000001_1243980_T	Pg.03r201021s000001_1243981_A	Pg.03r201021s000001_1244116_A	Pg.03r201021s000001_1244125_T	Pg.03r201021s000001_1244179_G	Pg.03r201021s000001_1244230_T	Pg.03r201021s000001_1244266_T	Pg.03r201021s000001_1244270_A	Pg.03r201021s000001_1244273_A	Pg.03r201021s000001_1244308_T	Pg.03r201021s000001_1244375_A	Pg.03r201021s000001_1244389_G	Pg.03r201021s000001_1244396_A	Pg.03r201021s000001_1244398_C	Pg.03r201021s000001_1814892_C	Pg.03r201021s000001_1814971_A	Pg.03r201021s000001_1814993_T	Pg.03r201021s000001_1814995_T
CAL_105502_P001_WA01	 2.3.6	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0795252	0	0	2	NA	NA	0	0	NA	NA	0	NA	1	1	1	NA	1	1	1	1	0	1	0	NA	0	NA	NA	NA	1	1	0	1
CAL_105502_P001_WA02	 8.1.9	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0501066	0	0	0	2	0	0	0	2	1	0	NA	0	NA	NA	0	0	0	0	2	0	0	0	0	0	1	1	0	NA	0	1	0
CAL_105502_P001_WA03	 9.1.13	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.043379	0	0	0	0	2	1	0	1	2	2	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	2
CAL_105502_P001_WA04	 4.1.1	6.Canmore	N	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	0.020387	NA	NA	NA	0	2	1	1	0	0	0	1	0	NA	1	0	0	0	1	1	NA	1	0	0	0	0	2	0	0	2	0	0
CAL_105502_P001_WA05	 9.2.1	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0527558	0	0	0	0	2	0	0	0	0	1	1	0	NA	NA	0	0	0	1	1	1	1	0	1	NA	1	1	0	NA	2	0	0
CAL_105502_P001_WA06	 3.2.1	3.Bell	N	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.0578627	0	0	0	0	2	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	2	0	1	1
CAL_105502_P001_WA07	 9.2.9	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0437502	NA	NA	NA	NA	NA	2	0	0	1	0	1	0	0	NA	0	0	0	0	0	1	1	0	0	0	1	NA	NA	0	2	0	0
CAL_105502_P001_WA08	 7.1.13	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0325681	NA	NA	NA	0	2	1	0	2	2	NA	1	0	1	1	0	0	0	0	1	1	1	0	1	0	2	2	2	0	0	0	0
CAL_105502_P001_WA09	 6.1.9	8.Old Baldy	N	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0369867	0	0	2	0	2	0	0	1	1	0	1	0	0	1	0	0	NA	1	1	1	1	0	0	0	1	1	1	0	2	0	0
CAL_105502_P001_WA10	 8.2.9	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0449681	0	0	2	NA	NA	0	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	2	0	0
